,price,numBathrooms,Status,house_size_SF,n_beds,BHK_RK,building_type
4561,361612,4,Unfurnished,5896,4,BHK,IndependentFloor
4562,404102,4,Unfurnished,5896,4,BHK,IndependentFloor
4563,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4564,14900,1,Furnished,660,2,BHK,IndependentFloor
4565,17000,2,Unfurnished,750,2,BHK,IndependentFloor
4566,18000,2,Unfurnished,700,2,BHK,IndependentFloor
4567,2491184,4,Unfurnished,6521,5,BHK,Villa
4568,1549191,4,Unfurnished,6521,5,BHK,Villa
4569,20000,2,Unfurnished,1000,2,BHK,Apartment
4570,3010101,4,Unfurnished,14521,12,BHK,IndependentHouse
4571,1012010,4,Unfurnished,6521,5,BHK,IndependentHouse
4572,1010101,4,Unfurnished,6521,5,BHK,Villa
4573,1102001,4,Unfurnished,6521,5,BHK,Villa
4574,2154919,4,Unfurnished,5896,5,BHK,IndependentHouse
4575,1449194,4,Unfurnished,5896,4,BHK,IndependentHouse
4576,401015,4,Unfurnished,6251,5,BHK,Villa
4577,12000,1,Semi-Furnished,1200,2,BHK,IndependentFloor
4578,130000,4,Semi-Furnished,2700,4,BHK,IndependentFloor
4579,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4580,310182,3,Unfurnished,2856,3,BHK,IndependentFloor
4581,401102,3,Unfurnished,2741,3,BHK,IndependentFloor
4582,310101,3,Unfurnished,2741,3,BHK,IndependentFloor
4583,401102,4,Unfurnished,5896,4,BHK,IndependentFloor
4584,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4585,322292,3,Unfurnished,2856,3,BHK,IndependentFloor
4586,325591,3,Unfurnished,2856,3,BHK,IndependentFloor
4587,310102,4,Unfurnished,5896,4,BHK,IndependentFloor
4588,325641,4,Unfurnished,5896,4,BHK,IndependentFloor
4589,325911,4,Unfurnished,5896,4,BHK,IndependentFloor
4590,401010,4,Unfurnished,5896,4,BHK,IndependentFloor
4591,401102,4,Unfurnished,5896,4,BHK,Villa
4592,604105,4,Unfurnished,5896,4,BHK,Villa
4593,504105,4,Unfurnished,5896,4,BHK,Villa
4594,401012,4,Unfurnished,5896,4,BHK,IndependentHouse
4595,381012,3,Unfurnished,2856,3,BHK,IndependentFloor
4596,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4597,381012,3,Unfurnished,2896,3,BHK,IndependentFloor
4598,362626,3,Unfurnished,2741,3,BHK,IndependentFloor
4599,22500,2,Semi-Furnished,950,2,BHK,Apartment
4600,235562,3,Unfurnished,2856,3,BHK,IndependentFloor
4601,308521,3,Unfurnished,2856,3,BHK,IndependentFloor
4602,235655,3,Unfurnished,3011,3,BHK,IndependentFloor
4603,308525,3,Unfurnished,2852,3,BHK,IndependentFloor
4604,25000,2,Semi-Furnished,1100,2,BHK,IndependentHouse
4605,540405,4,Unfurnished,6521,5,BHK,IndependentHouse
4606,601022,4,Unfurnished,6251,5,BHK,IndependentHouse
4607,301020,4,Unfurnished,6251,4,BHK,Villa
4608,401010,4,Unfurnished,6251,4,BHK,IndependentHouse
4609,301012,4,Unfurnished,5562,4,BHK,Villa
4610,12000,1,Furnished,500,1,BHK,Apartment
4611,401014,4,Unfurnished,6521,5,BHK,IndependentHouse
4612,704405,4,Unfurnished,6251,5,BHK,Villa
4613,549195,4,Unfurnished,6521,5,BHK,Villa
4614,301012,4,Unfurnished,6521,5,BHK,Villa
4615,401012,4,Unfurnished,6521,5,BHK,Villa
4616,404012,4,Unfurnished,6251,4,BHK,Villa
4617,301012,4,Unfurnished,5469,4,BHK,Villa
4618,1548182,4,Unfurnished,6521,5,BHK,Villa
4619,1101010,4,Unfurnished,6521,5,BHK,Villa
4620,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4621,401105,4,Unfurnished,5896,4,BHK,IndependentFloor
4622,381012,4,Unfurnished,5896,4,BHK,IndependentFloor
4623,401102,4,Unfurnished,5896,4,BHK,IndependentFloor
4624,401102,4,Unfurnished,5896,4,BHK,Villa
4625,401102,4,Unfurnished,5896,4,BHK,IndependentHouse
4626,401101,4,Unfurnished,5896,4,BHK,Villa
4627,504012,4,Unfurnished,5896,4,BHK,Villa
4628,381012,3,Unfurnished,2856,3,BHK,IndependentFloor
4629,350410,3,Unfurnished,2856,3,BHK,IndependentFloor
4630,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4631,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4632,301101,3,Unfurnished,2741,3,BHK,IndependentFloor
4633,504105,3,Unfurnished,2856,3,BHK,IndependentFloor
4634,308212,3,Unfurnished,2741,3,BHK,IndependentFloor
